OTU ID	P1	P2	P3	P4	S1	S2	S3	S4	SP1	SP2	SP3	SP4
OTU1	0.0193867251400926	0.0268351258222826	0.0267655146009537	0.0269047370436114	0.0152448574710243	0.0167066931189308	0.0190386690334482	0.00932790365806968	0.0303156868887265	0.0376944763495876	0.0246771779610873	0.0389474783335074
OTU2	0.0111029898019561	0.016567470676273	0.0165326650656086	0.02203195155059	0.0138178274337823	0.018864640980126	0.0182729455988305	0.0258953743343427	0.0164978594549441	0.0165326650656086	0.0231805367025164	0.0138526330444468
OTU3	0.023458981587832	0.0136786049911246	0.0198740036893947	0.0188298353694616	0.0152100518603599	0.0170547492255752	0.0213706449479656	0.0166718875082663	0.0169851380042463	0.00897984755142529	0.014026661097769	0.0169503323935818
OTU4	0.0146183564790644	0.0163238314016219	0.02203195155059	0.0183773624308239	0.0144095228150778	0.0175072221642129	0.0182381399881661	0.0133305488844802	0.0129128815565069	0.0135045769378024	0.0227280637638787	0.010859350527305
OTU5	0.0120427412898959	0.0138526330444468	0.0133653544951446	0.0156277191883332	0.010859350527305	0.0190038634227838	0.0191430858654415	0.0121471581218892	0.0157669416309909	0.0128780759458425	0.0208833663986635	0.0141658835404267
OTU6	0.00511642476767255	0.0076572343461766	0.00515123037833699	0.00424628450106157	0.00984998781803627	0.0211270056733145	0.0213358393373012	0.0258953743343427	0.00616059308760572	0.0102328495353451	0.0105112944206606	0.00730917823953221
OTU7	0.00567331453830357	0.015697330409662	0.0125648254498625	0.0149664125857088	0.00668267724757231	0.00932790365806968	0.0114858515192649	0.00654345480491455	0.00884062510876753	0.00922348682607636	0.0137482162124534	0.0189690578121193
OTU8	0.00831854094880095	0.0104068775886673	0.0106505168633184	0.0133305488844802	0.00675228846890119	0.00835334655946539	0.0109637673592983	0.00567331453830357	0.00946712610072744	0.0086317914447809	0.0118339076259093	0.013156520831158
OTU9	0.00804009606348543	0.00741359507152553	0.0117642964045804	0.009432320490063	0.00598656503428353	0.00957154293272076	0.0137830218231179	0.00452472938637708	0.00967595976471407	0.0114510459086005	0.0101632383140162	0.0124256030072048
OTU10	0.00758762312484773	0.012599631060527	0.0163238314016219	0.00964115415404963	0.00779645678883436	0.00797048484215656	0.00654345480491455	0.00490759110368591	0.00661306602624343	0.00769203995684104	0.015140440639031	0.00508161915700811
OTU11	0.00487278549302148	0.0121819637325537	0.01427030037242	0.0105809056419895	0.00452472938637708	0.0084577633914587	0.00657826041557899	0.00180989175455083	0.0111377954126205	0.0127388535031847	0.00810970728481431	0.009432320490063
OTU12	0.0114510459086005	0.00713515018621002	0.00974557098604295	0.0102328495353451	0.00334133862378615	0.00710034457554558	0.00939751487939856	0.00553409209564582	0.00953673732205632	0.00692631652222338	0.00776165117816992	0.00904945877275417
OTU13	0.00556889770631026	0.00978037659670739	0.0116250739619227	0.0101980439246807	0.00313250495979952	0.00504681354634367	0.00967595976471407	0.0046291462183704	0.00584734259162577	0.0106853224739828	0.00988479342870071	0.00908426438341861
OTU14	0.00581253698096133	0.00831854094880095	0.00929309804740524	0.00790087362082768	0.00365458911976611	0.00591695381295465	0.0060561762556124	0.00306289373847064	0.00849256900212314	0.0169851380042463	0.0100588214820229	0.00650864919425011
OTU15	0.00546448087431694	0.00682189969023007	0.00911906999408305	0.00810970728481431	0.00563850892763914	0.00807490167414987	0.00800529045282099	0.00337614423445059	0.00929309804740524	0.00852737461278758	0.00689151091155894	0.00797048484215656
OTU16	0.00856218022345202	0.00515123037833699	0.00636942675159236	0.00647384358358567	0.0062302043089346	0.00838815217012982	0.00939751487939856	0.0046291462183704	0.00932790365806968	0.00776165117816992	0.0054296752636525	0.00842295778079426
OTU17	0.0070307333542167	0.00790087362082768	0.00887543071943197	0.00797048484215656	0.00452472938637708	0.00508161915700811	0.0072047614075389	0.0040026452264105	0.00570812014896801	0.00536006404232362	0.00473356305036372	0.00929309804740524
OTU18	0.0054296752636525	0.00633462114092792	0.00577773137029689	0.0111377954126205	0.00278444885315513	0.00529045282099474	0.00619539869827016	0.00292367129581289	0.00490759110368591	0.00870140266610978	0.00633462114092792	0.00922348682607636
OTU19	0.00518603598900143	0.00393303400508162	0.00487278549302148	0.00473356305036372	0.00466395182903484	0.0102676551460095	0.00901465316208973	0.00494239671435035	0.00706553896488114	0.00894504194076085	0.00368939473043055	0.00699592774355226
OTU20	0.0228324805958721	0.00205353102920191	0.00212314225053079	0.00139222442657756	0.0128084647245136	0.00201872541853747	0.00445511816504821	0.0124256030072048	0.00424628450106157	0.00128780759458425	0.000904945877275417	0.00187950297587971
OTU21	0.0048031742716926	0.00612578747694128	0.00678709407956563	0.00692631652222338	0.00348056106644391	0.00424628450106157	0.00553409209564582	0.00309769934913508	0.00636942675159236	0.00584734259162577	0.0072047614075389	0.00873620827677422
OTU22	0.00306289373847064	0.00556889770631026	0.00598656503428353	0.00737878946086109	0.00838815217012982	0.00473356305036372	0.00473356305036372	0.00403745083707494	0.00668267724757231	0.00671748285823675	0.00407225644773938	0.00762242873551216
OTU23	0.00334133862378615	0.0052556472103303	0.00473356305036372	0.00790087362082768	0.00414186766906825	0.00529045282099474	0.00501200793567923	0.00368939473043055	0.00629981553026348	0.00810970728481431	0.00556889770631026	0.00800529045282099
OTU24	0.00348056106644391	0.00563850892763914	0.00779645678883436	0.00511642476767255	0.00330653301312172	0.00536006404232362	0.00504681354634367	0.00274964324249069	0.00852737461278758	0.00581253698096133	0.00654345480491455	0.00490759110368591
OTU25	0.00657826041557899	0.00616059308760572	0.00511642476767255	0.00487278549302148	0.00236678152518186	0.00448992377571264	0.00577773137029689	0.00198391980787303	0.00459434060770596	0.0062302043089346	0.00459434060770596	0.00800529045282099
OTU26	0.00584734259162577	0.00678709407956563	0.00574292575963245	0.00609098186627684	0.00389822839441718	0.00487278549302148	0.00536006404232362	0.00323692179179284	0.00375900595175942	0.00570812014896801	0.00598656503428353	0.00476836866102816
OTU27	0.00567331453830357	0.00786606801016324	0.00619539869827016	0.00793567923149212	0.00163586370122864	0.00306289373847064	0.00368939473043055	0.00187950297587971	0.0076572343461766	0.00584734259162577	0.00407225644773938	0.00539486965298806
OTU28	0.00233197591451742	0.00372420034109498	0.00281925446381957	0.00292367129581289	0.00501200793567923	0.00891023633009641	0.0100240158713585	0.0052556472103303	0.00361978350910167	0.00428109011172601	0.00577773137029689	0.00396783961574606
OTU29	0.00431589572239045	0.00584734259162577	0.00609098186627684	0.00476836866102816	0.00135741881591313	0.00452472938637708	0.00414186766906825	0.00226236469318854	0.00431589572239045	0.0068567053008945	0.00379381156242386	0.00866659705544534
OTU30	0.00859698583411646	0.00215794786119522	0.00361978350910167	0.00661306602624343	0.0054296752636525	0.00452472938637708	0.0068567053008945	0.00455953499704152	0.00355017228777279	0.00285406007448401	0.00306289373847064	0.00459434060770596
OTU31	0.00417667327973269	0.00497720232501479	0.00518603598900143	0.00389822839441718	0.0024015871358463	0.00494239671435035	0.00466395182903484	0.00271483763182625	0.00435070133305489	0.00817931850614319	0.00518603598900143	0.00452472938637708
OTU32	0.0040026452264105	0.00368939473043055	0.00309769934913508	0.00567331453830357	0.00403745083707494	0.00598656503428353	0.00734398385019665	0.00424628450106157	0.00274964324249069	0.00650864919425011	0.00403745083707494	0.00236678152518186
OTU33	0.00386342278375274	0.00351536667710835	0.00428109011172601	0.00442031255438377	0.00664787163690787	0.00598656503428353	0.00473356305036372	0.0032021161811284	0.00407225644773938	0.00334133862378615	0.00442031255438377	0.0040026452264105
OTU34	0.00292367129581289	0.00407225644773938	0.00960634854338519	0.00570812014896801	0.00170547492255752	0.00442031255438377	0.00361978350910167	0.00233197591451742	0.00229717030385298	0.00588214820229021	0.00261042079983293	0.00581253698096133
OTU35	0.00226236469318854	0.00288886568514845	0.00174028053322196	0.00208833663986635	0.0166718875082663	0.00271483763182625	0.001427030037242	0.00877101388743865	0.0112770178552783	0.000904945877275417	0.000835334655946539	0.00198391980787303
OTU36	0.00344575545577947	0.00393303400508162	0.00323692179179284	0.00348056106644391	0.00306289373847064	0.00515123037833699	0.00689151091155894	0.00469875743969928	0.00236678152518186	0.00448992377571264	0.00553409209564582	0.00403745083707494
OTU37	0.00414186766906825	0.00288886568514845	0.00233197591451742	0.00146183564790644	0.0060561762556124	0.00476836866102816	0.00236678152518186	0.00884062510876753	0.00706553896488114	0.00358497789843723	0.00201872541853747	0.00393303400508162
OTU38	0.00452472938637708	0.00473356305036372	0.00546448087431694	0.00591695381295465	0.00184469736521527	0.00254080957850405	0.00254080957850405	0.00163586370122864	0.00455953499704152	0.00442031255438377	0.00595175942361909	0.00501200793567923
OTU39	0.00609098186627684	0.00295847690647732	0.00487278549302148	0.00421147889039713	0.00191430858654415	0.00351536667710835	0.00511642476767255	0.00306289373847064	0.00591695381295465	0.00327172740245728	0.00421147889039713	0.00483797988235704
OTU40	0.00236678152518186	0.00379381156242386	0.00379381156242386	0.00365458911976611	0.00226236469318854	0.00386342278375274	0.00577773137029689	0.00295847690647732	0.00278444885315513	0.00556889770631026	0.00626500991959904	0.00581253698096133
OTU41	0.00330653301312172	0.00334133862378615	0.00226236469318854	0.00208833663986635	0.00421147889039713	0.00723956701820333	0.0060561762556124	0.00448992377571264	0.00341094984511503	0.00501200793567923	0.00330653301312172	0.00180989175455083
OTU42	0.0032021161811284	0.0016010580905642	0.0022275590825241	0.00268003202116181	0.010859350527305	0.00828373533813651	0.00713515018621002	0.00379381156242386	0.00114858515192649	0.00076572343461766	0.00250600396783962	0.00100936270926873
OTU43	0.00261042079983293	0.00365458911976611	0.00344575545577947	0.00341094984511503	0.00299328251714176	0.00368939473043055	0.00313250495979952	0.00167066931189308	0.00306289373847064	0.00445511816504821	0.00487278549302148	0.00696112213288782
OTU44	0.00295847690647732	0.00365458911976611	0.00330653301312172	0.00316731057046396	0.00285406007448401	0.00445511816504821	0.00616059308760572	0.00386342278375274	0.00233197591451742	0.00675228846890119	0.00327172740245728	0.00198391980787303
OTU45	0.00268003202116181	0.00389822839441718	0.00612578747694128	0.00435070133305489	0.0032021161811284	0.00365458911976611	0.00163586370122864	0.00257561518916849	0.00570812014896801	0.00191430858654415	0.00254080957850405	0.00459434060770596
OTU46	0.00306289373847064	0.00375900595175942	0.00337614423445059	0.00473356305036372	0.00174028053322196	0.00407225644773938	0.00490759110368591	0.00233197591451742	0.00271483763182625	0.00334133862378615	0.00567331453830357	0.00226236469318854
OTU47	0.0122515749538826	0.00198391980787303	0.00163586370122864	0.00334133862378615	0.00396783961574606	0.00194911419720859	0.00306289373847064	0.00501200793567923	0.00254080957850405	0.00104416831993317	0.000626500991959904	0.00135741881591313
OTU48	0.0016010580905642	0.00710034457554558	0.00511642476767255	0.00375900595175942	0.000870140266610978	0.000800529045282099	0.00125300198391981	0.000348056106644391	0.00187950297587971	0.00661306602624343	0.00414186766906825	0.00598656503428353
OTU49	0.00187950297587971	0.00174028053322196	0.00831854094880095	0.00699592774355226	0.00271483763182625	0.00295847690647732	0.00459434060770596	0.00198391980787303	0.00174028053322196	0.00114858515192649	0.00309769934913508	0.00149664125857088
OTU50	0.0046291462183704	0.00198391980787303	0.00375900595175942	0.00389822839441718	0.00365458911976611	0.00386342278375274	0.00588214820229021	0.00396783961574606	0.00167066931189308	0.00170547492255752	0.00184469736521527	0.00205353102920191
